City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
427,kahului,20.8947,-156.47,24.43,80,7,3.58,US,1681099252
428,damghan,36.1683,54.348,15.52,36,58,1.15,IR,1681099253
429,kupang,-10.1667,123.5833,27.32,94,100,4.12,ID,1681099253
430,safford,32.834,-109.7076,22.28,24,0,4.12,US,1681099006
431,comarapa,-17.9,-64.4833,11.31,99,63,0.37,BO,1681099254
432,ventersburg,-28.0856,27.1381,12.51,97,93,2.64,ZA,1681099255
433,wald-michelbach,49.57,8.8317,6.07,71,60,2.58,DE,1681099255
434,qaqortoq,60.7167,-46.0333,-2.68,91,89,0.85,GL,1681099255
435,cassilandia,-19.1133,-51.7342,20.18,96,53,1.57,BR,1681099099
436,salyan,39.5936,48.9805,12.55,73,37,3.62,AZ,1681099256
437,hay river,60.8156,-115.7999,7.99,57,100,5.14,CA,1681099029
438,boden,65.8252,21.6886,-4.0,95,100,0.71,SE,1681099257
439,port lincoln,-34.7333,135.8667,21.11,49,35,5.74,AU,1681099258
440,yenisehir,40.2644,29.6531,8.03,100,75,1.54,TR,1681099258
441,meulaboh,4.1363,96.1285,29.15,68,100,1.79,ID,1681099258
442,tuy hoa,13.0833,109.3,28.4,70,50,3.66,VN,1681099222
443,homer,59.6425,-151.5483,-3.44,59,27,5.36,US,1681099259
444,makhachkala,42.9764,47.5024,9.99,73,23,4.16,RU,1681099259
445,tilichiki,60.4667,166.1,-7.09,90,100,6.47,RU,1681099260
446,garden city,42.3256,-83.331,7.98,66,20,2.06,US,1681099119
447,north bend,43.4065,-124.2243,13.84,98,100,3.09,US,1681099209
448,makakilo city,21.3469,-158.0858,23.16,84,100,3.09,US,1681099261
449,puerto madryn,-42.7692,-65.0385,10.79,40,100,5.45,AR,1681099262
450,tessalit,20.1986,1.0114,23.31,16,98,4.99,ML,1681099168
451,bani,18.2833,-70.3333,22.69,85,11,1.54,DO,1681099264
452,qarchi gak,37.04,66.7889,21.77,28,79,9.79,AF,1681099264
453,palu,-0.8917,119.8707,30.18,69,66,2.44,ID,1681099265
454,karratha,-20.7377,116.8463,33.02,25,94,6.11,AU,1681099266
455,gamba,-2.65,10.0,24.39,90,100,1.39,GA,1681099267
456,coos bay,43.3665,-124.2179,13.88,98,100,3.09,US,1681098960
457,havre-saint-pierre,50.2334,-63.5986,1.0,86,75,7.2,CA,1681099268
458,sarakhs,36.5449,61.1577,18.62,34,23,5.22,IR,1681099268
459,thyboron,56.6985,8.2124,6.19,81,100,7.69,DK,1681099269
460,batemans bay,-35.7167,150.1833,18.94,30,9,4.53,AU,1681099270
461,svetlogorsk,52.6333,29.7333,6.99,91,83,1.74,BY,1681099271
462,marsh harbour,26.5412,-77.0636,24.52,74,100,3.95,BS,1681099271
463,pisco,-13.7,-76.2167,23.03,83,0,5.66,PE,1681099272
464,necochea,-38.5473,-58.7368,17.72,71,91,9.59,AR,1681099190
465,awbari,26.5921,12.7805,14.58,47,100,3.4,LY,1681099273
466,tabuk,17.4189,121.4443,29.47,55,63,1.91,PH,1681099273
467,eirunepe,-6.6603,-69.8736,22.43,100,100,0.09,BR,1681099274
468,rundu,-17.9333,19.7667,18.22,44,100,1.73,NA,1681099274
469,rio gallegos,-51.6226,-69.2181,2.03,64,0,4.63,AR,1681099275
470,salamanca,40.8333,-6.0,8.75,61,63,1.88,ES,1681099275
471,green river,41.5286,-109.4662,6.22,100,69,1.29,US,1681099276
472,castanos,26.7833,-101.4167,20.19,71,25,1.68,MX,1681099276
473,sao filipe,14.8961,-24.4956,21.94,66,21,4.57,CV,1681099141
474,piacabucu,-10.4056,-36.4344,25.23,78,97,1.84,BR,1681099277
475,pangkalanbuun,-2.6833,111.6167,33.26,48,59,2.72,ID,1681099278
476,sagua la grande,22.8067,-80.0756,23.7,77,44,2.03,CU,1681099278
477,saint-francois,46.4154,3.9054,1.69,93,0,1.03,FR,1681099278
478,turukhansk,65.8167,87.9833,-13.36,82,100,3.0,RU,1681099279
